material_id,surface_miller,path,li_displacement_A,barrier_eV,status
mp-7285,"(0, 0, 1)",bridge_to_hollow,0.157,,Li位移过小(0.16Å)
mp-7285,"(0, 0, 1)",hollow_to_top,3.322,0.6298999786376953,success
mp-604884,"(0, 0, 1)",top_to_bridge,5.171,0.0,success
mp-29154,"(1, 0, 1)",top_to_bridge,8.178,0.6527000069618225,success
mp-29154,"(1, 0, 1)",bridge_to_hollow,4.979,0.6470000147819519,success
mp-29154,"(1, 0, 1)",hollow_to_top,3.258,0.612500011920929,success
mp-13967,"(1, 1, 0)",top_to_bridge,17.215,1.0525000095367432,success
mp-13967,"(1, 1, 0)",bridge_to_hollow,4.577,0.9937999844551086,success
mp-13967,"(1, 1, 0)",hollow_to_top,13.761,0.4762000143527984,success
mp-1207408,"(1, 0, 1)",top_to_bridge,19.563,2.186000108718872,success
mp-1207408,"(1, 0, 1)",bridge_to_hollow,10.175,1.0742000341415403,success
mp-1207408,"(1, 0, 1)",hollow_to_top,14.433,1.327399969100952,success
mp-862658,"(0, 0, 1)",top_to_bridge,14.601,0.9018999934196472,success
mp-862658,"(0, 0, 1)",bridge_to_hollow,1.273,0.0,success
mp-862658,"(0, 0, 1)",hollow_to_top,14.951,0.3113000094890594,success
mp-22793,"(1, 1, 1)",top_to_bridge,7.172,0.1553000062704086,success
mp-22793,"(1, 1, 1)",bridge_to_hollow,1.457,0.0,success
mp-22793,"(1, 1, 1)",hollow_to_top,8.079,0.0768000036478042,success
mp-171,"(0, 0, 1)",top_to_bridge,8.469,0.0220999997109174,success
mp-171,"(0, 0, 1)",bridge_to_hollow,0.069,,Li位移过小(0.07Å)
mp-171,"(0, 0, 1)",hollow_to_top,8.444,0.0,success
mp-1192350,"(0, 0, 1)",top_to_bridge,6.405,0.0,success
mp-1192350,"(0, 0, 1)",bridge_to_hollow,0.016,,Li位移过小(0.02Å)
mp-1192350,"(0, 0, 1)",hollow_to_top,6.399,0.8274999856948853,success
mp-1216352,"(0, 0, 1)",top_to_bridge,3.859,0.0,success
mp-1216352,"(0, 0, 1)",bridge_to_hollow,3.759,0.0001999999949475,success
mp-1216352,"(0, 0, 1)",hollow_to_top,4.286,0.2527999877929687,success
mp-1222617,"(1, 1, 0)",top_to_bridge,7.015,0.8447999954223633,success
mp-1208248,"(0, 1, 1)",top_to_bridge,4.505,0.2578000128269195,success
mp-1208248,"(0, 1, 1)",bridge_to_hollow,15.671,26.63089942932129,success
mp-1208248,"(0, 1, 1)",hollow_to_top,16.836,0.5810999870300293,success
mp-16336,"(0, 0, 1)",top_to_bridge,5.235,0.0,success
mp-16336,"(0, 0, 1)",bridge_to_hollow,2.995,0.0,success
mp-16336,"(0, 0, 1)",hollow_to_top,3.414,1.7806999683380127,success
mp-16506,"(0, 0, 1)",top_to_bridge,5.771,1.273300051689148,success
mp-1067,"(1, 0, 0)",top_to_bridge,4.468,0.0313000008463859,success
mp-569803,"(0, 0, 1)",top_to_bridge,4.662,0.0,success
mp-569803,"(0, 0, 1)",bridge_to_hollow,0.001,,Li位移过小(0.00Å)
mp-569803,"(0, 0, 1)",hollow_to_top,4.662,1.2259000539779663,success
mp-1190681,"(0, 0, 1)",top_to_bridge,6.653,0.0,success
mp-1190681,"(0, 0, 1)",bridge_to_hollow,0.128,,Li位移过小(0.13Å)
mp-1190681,"(0, 0, 1)",hollow_to_top,6.544,0.7615000009536743,success
mp-20211,"(1, 0, 0)",top_to_bridge,6.913,0.9174000024795532,success
mp-20211,"(1, 0, 0)",bridge_to_hollow,2.329,0.0474000014364719,success
mp-20211,"(1, 0, 0)",hollow_to_top,6.094,0.3835000097751617,success
mp-2213,"(0, 0, 1)",top_to_bridge,4.007,0.0,success
mp-861627,"(1, 0, 0)",top_to_bridge,15.571,1.3878999948501587,success
mp-861627,"(1, 0, 0)",bridge_to_hollow,2.638,0.4092000126838684,success
mp-861627,"(1, 0, 0)",hollow_to_top,12.994,1.0652999877929688,success
mp-2536,"(1, 1, 1)",top_to_bridge,11.161,0.2797000110149383,success
mp-2536,"(1, 1, 1)",bridge_to_hollow,0.039,,Li位移过小(0.04Å)
mp-2536,"(1, 1, 1)",hollow_to_top,11.167,0.6988999843597412,success
mp-1401,"(1, 0, 0)",top_to_bridge,18.172,1.6739000082015991,success
mp-1401,"(1, 0, 0)",bridge_to_hollow,0.028,,Li位移过小(0.03Å)
mp-1401,"(1, 0, 0)",hollow_to_top,18.144,1.6641000509262085,success
mp-1014229,"(0, 0, 1)",top_to_bridge,8.19,0.4189999997615814,success
mp-861991,"(1, 0, 0)",top_to_bridge,6.056,1.0082999467849731,success
mp-861991,"(1, 0, 0)",bridge_to_hollow,2.427,0.0,success
mp-861991,"(1, 0, 0)",hollow_to_top,7.736,1.1240999698638916,success
mp-1245429,"(0, 0, 1)",top_to_bridge,8.94,0.5716999769210815,success
mp-1245429,"(0, 0, 1)",bridge_to_hollow,3.166,0.5709999799728394,success
mp-1245429,"(0, 0, 1)",hollow_to_top,7.074,0.4208999872207641,success
mp-5778,"(1, 1, 1)",top_to_bridge,4.671,1.1643999814987185,success
mp-30228,"(1, 1, 0)",top_to_bridge,7.723,2.536600112915039,success
mp-30228,"(1, 1, 0)",bridge_to_hollow,0.015,,Li位移过小(0.01Å)
mp-30228,"(1, 1, 0)",hollow_to_top,7.728,0.5274999737739563,success
mp-973904,"(0, 0, 1)",top_to_bridge,5.8,0.0,success
mp-973904,"(0, 0, 1)",bridge_to_hollow,0.77,0.0,success
mp-973904,"(0, 0, 1)",hollow_to_top,5.24,0.1889999955892563,success
mp-862691,"(1, 1, 1)",top_to_bridge,10.703,0.2840999960899353,success
mp-862691,"(1, 1, 1)",bridge_to_hollow,0.004,,Li位移过小(0.00Å)
mp-862691,"(1, 1, 1)",hollow_to_top,10.699,0.2840999960899353,success
mp-1218003,"(0, 0, 1)",top_to_bridge,2.615,0.0,success
mp-1218003,"(0, 0, 1)",bridge_to_hollow,1.737,0.1677999943494796,success
mp-1218003,"(0, 0, 1)",hollow_to_top,1.866,0.6412000060081482,success
mp-1185312,"(1, 1, 1)",top_to_bridge,5.348,0.2696000039577484,success
mp-1185312,"(1, 1, 1)",bridge_to_hollow,9.021,0.0003000000142492,success
mp-1185312,"(1, 1, 1)",hollow_to_top,5.92,0.989300012588501,success
